episode,steps,total_reward,collision,goal_reached,avg_step_reward
1,34,-16.89999999999999,True,False,-0.4970588235294115
2,13,0.20000000000000284,True,False,0.015384615384615604
3,6,-9.1,True,False,-1.5166666666666666
4,6,-4.6,True,False,-0.7666666666666666
5,15,-2.499999999999999,True,False,-0.1666666666666666
6,18,-8.799999999999999,True,False,-0.4888888888888888
7,7,-3.6999999999999993,True,False,-0.5285714285714285
8,28,3.200000000000003,True,False,0.1142857142857144
9,6,-4.6,True,False,-0.7666666666666666
10,19,5.600000000000005,True,False,0.2947368421052634
11,10,-0.9999999999999982,True,False,-0.09999999999999983
12,13,1.7000000000000028,True,False,0.130769230769231
13,9,-3.3999999999999995,True,False,-0.3777777777777777
14,6,-6.1,True,False,-1.0166666666666666
15,6,-4.6,True,False,-0.7666666666666666
16,12,-6.6999999999999975,True,False,-0.5583333333333331
17,6,-4.6,True,False,-0.7666666666666666
18,6,-4.6,True,False,-0.7666666666666666
19,13,0.20000000000000284,True,False,0.015384615384615604
20,14,2.600000000000003,True,False,0.18571428571428594
21,11,-0.09999999999999787,True,False,-0.009090909090908898
22,17,-5.199999999999999,True,False,-0.30588235294117644
23,13,-4.299999999999998,True,False,-0.3307692307692306
24,21,-12.099999999999998,True,False,-0.5761904761904761
25,59,-0.399999999999995,True,False,-0.006779661016949068
26,9,-9.4,True,False,-1.0444444444444445
27,7,-3.6999999999999993,True,False,-0.5285714285714285
28,6,-4.6,True,False,-0.7666666666666666
29,10,-10.0,True,False,-1.0
30,10,-2.4999999999999982,True,False,-0.24999999999999983
31,6,-4.6,True,False,-0.7666666666666666
32,7,-3.6999999999999993,True,False,-0.5285714285714285
33,21,7.400000000000004,True,False,0.3523809523809526
34,16,-0.09999999999999609,True,False,-0.006249999999999756
35,6,-4.6,True,False,-0.7666666666666666
36,6,-4.6,True,False,-0.7666666666666666
37,32,12.799999999999988,True,False,0.39999999999999963
38,8,-2.799999999999999,True,False,-0.34999999999999987
39,27,-14.2,True,False,-0.5259259259259259
40,13,-8.8,True,False,-0.676923076923077
41,11,-9.1,True,False,-0.8272727272727273
42,21,-6.099999999999996,True,False,-0.2904761904761903
43,11,-9.1,True,False,-0.8272727272727273
44,9,-13.9,True,False,-1.5444444444444445
45,9,-12.4,True,False,-1.3777777777777778
46,11,-7.6,True,False,-0.6909090909090909
47,6,-12.1,True,False,-2.0166666666666666
48,16,-10.6,True,False,-0.6625
49,6,-6.1,True,False,-1.0166666666666666
50,16,-4.6,True,False,-0.2875
51,15,-3.9999999999999964,True,False,-0.26666666666666644
52,10,-14.5,True,False,-1.45
53,18,-8.8,True,False,-0.48888888888888893
54,6,-4.6,True,False,-0.7666666666666666
55,8,-5.799999999999999,True,False,-0.7249999999999999
56,17,-9.7,True,False,-0.5705882352941176
57,9,-1.8999999999999986,True,False,-0.21111111111111094
58,6,-4.6,True,False,-0.7666666666666666
59,13,1.7000000000000028,True,False,0.130769230769231
60,7,-3.6999999999999993,True,False,-0.5285714285714285
61,6,-9.1,True,False,-1.5166666666666666
62,9,-9.4,True,False,-1.0444444444444445
63,20,2.0000000000000053,True,False,0.10000000000000027
64,19,-9.399999999999997,True,False,-0.494736842105263
65,7,-3.6999999999999993,True,False,-0.5285714285714285
66,6,-4.6,True,False,-0.7666666666666666
67,12,-11.2,True,False,-0.9333333333333332
68,7,-5.199999999999999,True,False,-0.7428571428571428
69,14,2.600000000000003,True,False,0.18571428571428594
70,9,-6.399999999999999,True,False,-0.7111111111111109
71,7,-5.199999999999999,True,False,-0.7428571428571428
72,6,-4.6,True,False,-0.7666666666666666
73,6,-4.6,True,False,-0.7666666666666666
74,8,-2.799999999999999,True,False,-0.34999999999999987
75,6,-7.6,True,False,-1.2666666666666666
76,13,-7.3,True,False,-0.5615384615384615
77,8,-5.8,True,False,-0.725
78,47,15.799999999999981,True,False,0.33617021276595704
79,16,-6.1,True,False,-0.38125
80,18,-5.8,True,False,-0.3222222222222222
81,14,-7.899999999999999,True,False,-0.5642857142857142
82,23,0.20000000000000107,True,False,0.00869565217391309
83,6,-12.1,True,False,-2.0166666666666666
84,6,-12.1,True,False,-2.0166666666666666
85,16,2.900000000000004,True,False,0.18125000000000024
86,6,-6.1,True,False,-1.0166666666666666
87,14,-6.4,True,False,-0.4571428571428572
88,14,-9.4,True,False,-0.6714285714285715
89,12,-11.2,True,False,-0.9333333333333332
90,17,-9.7,True,False,-0.5705882352941176
91,21,-9.1,True,False,-0.4333333333333333
92,27,-21.699999999999996,True,False,-0.8037037037037036
93,15,-14.5,True,False,-0.9666666666666667
94,27,-14.2,True,False,-0.5259259259259259
95,21,-9.1,True,False,-0.4333333333333333
96,6,-12.1,True,False,-2.0166666666666666
97,6,-9.1,True,False,-1.5166666666666666
98,6,-12.1,True,False,-2.0166666666666666
99,7,-5.199999999999999,True,False,-0.7428571428571428
100,12,0.8000000000000025,True,False,0.06666666666666687
